DBA,STREET,INCOME_LEVEL,CUISINE_DESCRIPTION,SCORE,GRADE
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Mediterranean,20,B
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Mediterranean,20,B
A LA TURKA,2 AVENUE,high income,Mediterranean,12,A
A LA TURKA,2 AVENUE,high income,Mediterranean,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
ACE BAR,EAST    5 STREET,medium income,American,12,A
ACE BAR,EAST    5 STREET,medium income,American,12,A
ADAYA AFRICAN AMERICAN RESTAURANT,WEBSTER AVENUE,low income,African,23,B
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,28,C
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,13,A
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,13,A
AJISAI,LEXINGTON AVENUE,high income,Japanese,18,B
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,22,B
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,22,B
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,22,B
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,13,A
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,13,A
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,13,A
ALIBABA,AMSTERDAM AVENUE,high income,Jewish/Kosher,10,A
ALIBABA,AMSTERDAM AVENUE,high income,Jewish/Kosher,10,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,13,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,13,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,13,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,13,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,13,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,13,A
ALL ABOUT FOOD,EAST   58 STREET,high income,Delicatessen,12,A
ALL ABOUT FOOD,EAST   58 STREET,high income,Delicatessen,12,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,12,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,12,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,12,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMBASSADOR FOOD SERVICES,38 AVENUE,medium income,American,11,A
AMBASSADOR FOOD SERVICES,38 AVENUE,medium income,American,11,A
AMELIA'S DINER,VARICK STREET,high income,American,11,A
AMERICAN BAR,1 AVENUE,high income,American,27,B
AMERICAN BAR,1 AVENUE,high income,American,27,B
AMERICAN BAR,1 AVENUE,high income,American,27,B
AMERICAN BAR,1 AVENUE,high income,American,27,B
AMERICAN BAR,1 AVENUE,high income,American,27,B
AMERICAN BAR,1 AVENUE,high income,American,27,B
AMERICAN BAR,1 AVENUE,high income,American,27,B
AMERICAN BAR,1 AVENUE,high income,American,27,B
AMERICAN CUT,GREENWICH STREET,high income,Steak,13,A
AMERICAN HERO & SUB'S,44 DRIVE,medium income,Sandwiches,13,A
AMERICAN HERO & SUB'S,44 DRIVE,medium income,Sandwiches,13,A
AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,W 79 STREET,high income,American,12,A
AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,W 79 STREET,high income,American,12,A
AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,W 79 STREET,high income,American,12,A
AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,W 79 STREET,high income,American,12,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMMA,EAST   51 STREET,high income,Indian,9,A
AMOR BAKERY NO 2,PROSPECT AVENUE,low income,Bakery,11,A
AMOR BAKERY NO 2,PROSPECT AVENUE,low income,Bakery,11,A
AMORINA,VANDERBILT AVENUE,medium income,Italian,13,A
AMSTERDAM ALE HOUSE,AMSTERDAM AVENUE,high income,American,30,C
AMSTERDAM ALE HOUSE,AMSTERDAM AVENUE,high income,American,30,C
AMSTERDAM GOURMET,AMSTERDAM AVENUE,high income,Delicatessen,11,A
AMSTERDAM GOURMET,AMSTERDAM AVENUE,high income,Delicatessen,11,A
AMSTERDAM GOURMET,AMSTERDAM AVENUE,high income,Delicatessen,11,A
AMSTERDAM GOURMET,AMSTERDAM AVENUE,high income,Delicatessen,11,A
AMSTERDAM GOURMET,AMSTERDAM AVENUE,high income,Delicatessen,11,A
AMSTERDAM GOURMET,AMSTERDAM AVENUE,high income,Delicatessen,11,A
AMSTERDAM GOURMET,AMSTERDAM AVENUE,high income,Delicatessen,11,A
AMSTERDAM GOURMET,AMSTERDAM AVENUE,high income,Delicatessen,11,A
ANDRE'S HUNGARIAN STRUDELS & PASTRIES,QUEENS BLVD,medium income,Bakery,28,C
ANDY'S DELI,BROADWAY,high income,American,12,A
ANDY'S DELI,BROADWAY,high income,American,12,A
ANDY'S DELI,BROADWAY,high income,American,12,A
ANGELO BELLINI,EAST   53 STREET,high income,Italian,16,B
ANGELO BELLINI,EAST   53 STREET,high income,Italian,16,B
ANGELO BELLINI,EAST   53 STREET,high income,Italian,16,B
ANGELO BELLINI,EAST   53 STREET,high income,Italian,16,B
ANOTHEROOM,WEST BROADWAY,high income,American,10,A
ANOTHEROOM,WEST BROADWAY,high income,American,10,A
ANTHONY & JOE'S PIZZA,SOUTHERN BOULEVARD,low income,Pizza,9,A
ANTHONY & JOE'S PIZZA,SOUTHERN BOULEVARD,low income,Pizza,9,A
ANTHONY & JOE'S PIZZA,SOUTHERN BOULEVARD,low income,Pizza,9,A
ANTHONY & JOE'S PIZZA,SOUTHERN BOULEVARD,low income,Pizza,9,A
ANTIQUE GARAGE,MERCER STREET,high income,Mediterranean,11,A
ANTIQUE GARAGE,MERCER STREET,high income,Mediterranean,11,A
ANTONIO'S PIZZA,FLATBUSH AVENUE,medium income,Pizza,11,A
ANTONIO'S PIZZA,FLATBUSH AVENUE,medium income,Pizza,11,A
ANTONIO'S PIZZA,FLATBUSH AVENUE,medium income,Pizza,11,A
ANTONIO'S PIZZA,FLATBUSH AVENUE,medium income,Pizza,11,A
ANTONIO'S RESTAURANT,EAST  167 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
ANTONIO'S RESTAURANT,EAST  167 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
ANTONIO'S RESTAURANT,EAST  167 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
ANTONIO'S RESTAURANT,EAST  167 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
ANTONIO'S RESTAURANT,EAST  167 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
ANTONIO'S RESTAURANT,EAST  167 STREET,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
(LEWIS DRUG STORE) LOCANDA VINI E OLII,GATES AVENUE,medium income,Italian,9,A
(LEWIS DRUG STORE) LOCANDA VINI E OLII,GATES AVENUE,medium income,Italian,9,A
(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),CENTRAL PARK WEST,high income,American,12,A
APHRODITES SWEETS,FRANCIS LEWIS BOULEVARD,medium income,Bakery,13,A
APHRODITES SWEETS,FRANCIS LEWIS BOULEVARD,medium income,Bakery,13,A
1 DARBAR,EAST   46 STREET,high income,Indian,11,A
1 DARBAR,EAST   46 STREET,high income,Indian,11,A
1 DARBAR,EAST   46 STREET,high income,Indian,11,A
APHRODITES SWEETS,FRANCIS LEWIS BOULEVARD,medium income,Bakery,13,A
1 EAST 66TH STREET KITCHEN,EAST   66 STREET,high income,American,3,A
APHRODITES SWEETS,FRANCIS LEWIS BOULEVARD,medium income,Bakery,13,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
101 DELI,ROCKAWAY BEACH BOULEVARD,medium income,Delicatessen,12,A
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",31,C
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",31,C
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",31,C
16 HANDLES,AMSTERDAM AVENUE,high income,"Ice Cream, Gelato, Yogurt, Ices",31,C
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,22,B
18 RESTAURANT,EAST   81 STREET,high income,Jewish/Kosher,22,B
ARABELLE,EAST   64 STREET,high income,American,12,A
ARABELLE,EAST   64 STREET,high income,American,12,A
ARABELLE,EAST   64 STREET,high income,American,12,A
ARABELLE,EAST   64 STREET,high income,American,12,A
27 SPORTS BAR & CAFE,WEST MOUNT EDEN AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
3 DELI & GRILL,EAST   55 STREET,high income,American,12,A
3 DELI & GRILL,EAST   55 STREET,high income,American,12,A
3 DELI & GRILL,EAST   55 STREET,high income,American,12,A
5 NAPKIN BURGER,BROADWAY,high income,Hamburgers,16,B
5 NAPKIN BURGER,BROADWAY,high income,Hamburgers,16,B
5 NAPKIN BURGER,BROADWAY,high income,Hamburgers,16,B
535 MADISON CAFE,MADISON AVENUE,high income,American,12,A
535 MADISON CAFE,MADISON AVENUE,high income,American,12,A
535 MADISON CAFE,MADISON AVENUE,high income,American,12,A
535 MADISON CAFE,MADISON AVENUE,high income,American,12,A
55 THOMAS CAFE,THOMAS STREET,high income,American,12,A
55 THOMAS CAFE,THOMAS STREET,high income,American,12,A
55 THOMAS CAFE,THOMAS STREET,high income,American,12,A
55 THOMAS CAFE,THOMAS STREET,high income,American,12,A
55 THOMAS CAFE,THOMAS STREET,high income,American,12,A
55 THOMAS CAFE,THOMAS STREET,high income,American,12,A
5C CAFE & CULTURAL CENTER,AVENUE C,medium income,Caf̩/Coffee/Tea,13,A
5C CAFE & CULTURAL CENTER,AVENUE C,medium income,Caf̩/Coffee/Tea,13,A
5C CAFE & CULTURAL CENTER,AVENUE C,medium income,Caf̩/Coffee/Tea,13,A
5C CAFE & CULTURAL CENTER,AVENUE C,medium income,Caf̩/Coffee/Tea,13,A
ARTE CAFE,WEST   73 STREET,high income,Italian,13,A
ARTE CAFE,WEST   73 STREET,high income,Italian,13,A
ARTURO'S,YORK AVENUE,high income,Italian,13,A
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Mediterranean,20,B
ASIA ROMA,MULBERRY STREET,high income,American,12,A
ASIA ROMA,MULBERRY STREET,high income,American,12,A
7B BAR,AVENUE B,medium income,American,11,A
7B BAR,AVENUE B,medium income,American,11,A
ATERA,WORTH STREET,high income,American,13,A
ATERA,WORTH STREET,high income,American,13,A
ATOMIC WINGS,BROADWAY,high income,Chicken,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,12,A
A LA TURKA,2 AVENUE,high income,Mediterranean,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
AU ZA'ATAR,AVENUE A,medium income,American,13,A
AUGURS WELL,ST MARKS PLACE,medium income,American,13,A
AUGURS WELL,ST MARKS PLACE,medium income,American,13,A
AUGURS WELL,ST MARKS PLACE,medium income,American,13,A
AURORA SOHO,BROOME STREET,high income,Italian,13,A
AURORA SOHO,BROOME STREET,high income,Italian,13,A
AURORA SOHO,BROOME STREET,high income,Italian,13,A
AURORA SOHO,BROOME STREET,high income,Italian,13,A
AUSTIN HOUSE,AUSTIN STREET,medium income,American,13,A
AUSTIN HOUSE,AUSTIN STREET,medium income,American,13,A
AUSTIN HOUSE,AUSTIN STREET,medium income,American,13,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,11,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,11,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,11,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,11,A
AVRA ESTIATORIO,EAST   48 STREET,high income,Greek,13,A
AVRA ESTIATORIO,EAST   48 STREET,high income,Greek,13,A
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
AZUSA OF JAPAN,EAST   44 STREET,high income,Japanese,16,B
AZUSA OF JAPAN,EAST   44 STREET,high income,Japanese,16,B
B-SIDE,AVENUE B,medium income,American,13,A
B-SIDE,AVENUE B,medium income,American,13,A
B CAFE,EAST   75 STREET,high income,American,11,A
ACE BAR,EAST    5 STREET,medium income,American,12,A
ACE BAR,EAST    5 STREET,medium income,American,12,A
B FLAT,CHURCH STREET,high income,Japanese,12,A
B FLAT,CHURCH STREET,high income,Japanese,12,A
B FLAT,CHURCH STREET,high income,Japanese,12,A
ADAYA AFRICAN AMERICAN RESTAURANT,WEBSTER AVENUE,low income,African,23,B
ADAYA AFRICAN AMERICAN RESTAURANT,WEBSTER AVENUE,low income,African,23,B
BAGEL TALK,AMSTERDAM AVENUE,high income,Bagels/Pretzels,12,A
AFRICAN MARKET (BABOON CAFE),SOUTHERN BOULEVARD,low income,American,5,A
BAGEL WORKS,FIRST AVENUE,high income,Bagels/Pretzels,28,C
AGED,70TH RD,medium income,Steak,10,A
AGED,70TH RD,medium income,Steak,10,A
AGED,70TH RD,medium income,Steak,10,A
AGED,70TH RD,medium income,Steak,10,A
BAGELICIOUS,108 STREET,medium income,Bagels/Pretzels,12,A
BAGELICIOUS,108 STREET,medium income,Bagels/Pretzels,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,28,C
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,28,C
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,28,C
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,28,C
BAGELS FOR YOU,QUEENS BOULEVARD,medium income,Bagels/Pretzels,13,A
BAGELS FOR YOU,QUEENS BOULEVARD,medium income,Bagels/Pretzels,13,A
BAILEY'S CORNER PUB,YORK AVENUE,high income,Irish,12,A
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,13,A
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,13,A
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,13,A
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,13,A
BAILEY'S CORNER PUB,YORK AVENUE,high income,Irish,12,A
BAKER'S PIZZA,AVENUE A,medium income,Pizza,24,B
AJISAI,LEXINGTON AVENUE,high income,Japanese,18,B
AJISAI,LEXINGTON AVENUE,high income,Japanese,18,B
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
BAKER'S PIZZA,AVENUE A,medium income,Pizza,24,B
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
BAKER'S PIZZA,AVENUE A,medium income,Pizza,24,B
BAKER'S PIZZA,AVENUE A,medium income,Pizza,24,B
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
BAKER STREET PUB,1 AVENUE,high income,American,11,A
BALADE,1 AVENUE,medium income,Mediterranean,13,A
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
BALADE,1 AVENUE,medium income,Mediterranean,13,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,22,B
BANH MI SAIGON BAKERY,GRAND STREET,high income,Vietnamese/Cambodian/Malaysia,12,A
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,22,B
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
