Country or Territory,ISO 3 code,"Cancer deaths attributable to alcohol
Proportion (%) of cancer deaths caused by alcohol drinking in men ages 15 years or older, 2016","Smoking prevalence male
Prevalence (%) of daily smoking for men","Smoking prevalence female
Prevalence (%) of daily smoking for women","Cancers attributable to infections
Proportion of cancers attributable to infections (%), by country","Obesity prevalence male
International variation in the prevalence of obesity, 2016","Obesity prevalence female
International variation in the prevalence of obesity, 2016","Melanoma skin cancer incidence
Age-standardized rate (world) per 100,000, both sexes, 2018","Breastfeeding at 12 months
Percent (%) of children who receive any breast milk at 12 months of age","Average births per woman
2010-2015","Outdoor air pollution
Average annual population-weighted concentrations of PM2.5 (particulate matter of 2.5 _m diameter or less), measured in _g/m3, 2017","Indoor air pollution
Proportion (%) of population using solid fuels in 2017","Cancer rank as leading cause of death among 30-69
2016","Lung cancer incidence rates, male
Age-standardized rate (world) per 100,000, all ages, 2018","Lung cancer incidence rates, female
Age-standardized rate (world) per 100,000, all ages, 2018","Breast most frequently diagnosed cancer in women
Countries where breast cancer is the most frequently diagnosed cancer in women, 2018","Human Development Index (HDI) levels
2017","Cancer rank as leading cause of death among <70
2016","Indigenous peoples
As percent of total population","Most common cancer cases worldwide, females
2018","Most common cancer deaths worldwide, females
2018","Most common cancer cases worldwide, males
2018","Most common cancer deaths worldwide, males
2018","High-quality survival data
Availability of high-quality cancer data for survival statistics, 2008Ð2014","Cancer survivors
Estimated number of cancer survivors diagnosed within the past five years per 100,000 population, both sexes, 2018","Years lived with disability due to cancer
Both sexes, all ages, 2017","Cervical cancer screening, visual inspection with acetic acid
As of June 2017","Parties to the Framework Convention on Tobacco Control
As of mid-2019","Tobacco packaging restrictions
Use of graphic warning labels and plain packaging","Hepatitis B virus vaccination
Hepatitis B vaccination coverage (% of one-year-olds who have received three doses of hepatitis B vaccine), 2017","Human papillomavirus vaccination
Countries that have introduced the HPV vaccine by June 2019 (including partial introduction)","Cervical cancer screening, HPV DNA testing
2017","Radiotherapy availability
Number of radiotherapy machines per 1,000 cancer patients","Untreated deaths in pain
2016","Population-based cancer registries
Availability of population-based cancer registry (PBCR) data, 2019","Mortality registration quality
Quality of mortality registration worldwide, 2007Ð2016","Cost of smoking-attributable diseases (US$ billions)
Economic cost of smoking-attributable diseases annually (healthcare spending and productivity losses)*","Cervical cancer incidence rates
Age-standardized rate (world) per 100,000, 2018","HIV prevalence (%)
Both sexes, 2017","UICC organizations
A global network of cancer organizations","Global Relay For Life
2017"
Austria,AUT,8.2,18.9,15.8,5.6,21.9,18.3,13.6,16,1.4,12,0.87,1st,33.2,23.3,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,737.9,22705.8,No program,FCTC party,Graphic warning labels,90,Introduced,None,1.03,0,High quality PBCR,High,Data not featured,5.5,0.1,1,Non-participant
Botswana,BWA,10.6,25.4,3.5,30.4,8.1,29.3,1.8,44.5,2.9,23,46,3rd-4th,6.4,0.79,Other,High,3rd-4th,No data,Cervix uteri,Cervix uteri,Kaposi sarcoma,Kaposi sarcoma,No data,236.7,872.6,Pilot,FCTC party,No graphic warning labels,95,Introduced,None,0.51,2764.1,PBCR,No coverage,Data not featured,31.6,22.8,2,Non-participant
Belgium,BEL,7.7,21.6,16.4,4.3,23.1,21,19.9,No data,1.8,13,0.35,1st,52.2,28.1,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,National high quality data,1076,30923.9,No program,FCTC party,Graphic warning labels,97,Introduced,None,1.2,0,High quality PBCR,High,Data not featured,7.8,No data,7,Global Relay For Life Participant
Bahamas,BHS,5.2,8,3.7,10,24.4,38.1,1.4,No data,1.8,17,2.9,2nd,10.4,3.5,Breast,Very high,1st,No data,Breast,Breast,Prostate,Prostate,No data,462.5,479.4,No program,FCTC party,No graphic warning labels,94,Introduced,None,1.07,385.6,PBCR,High,Data not featured,10.9,1.9,1,Non-participant
Bangladesh,BGD,1.1,35.4,0.5,17.1,2.3,5,0.33,97,2.2,61,79,2nd,14.1,4.6,Breast,Medium,2nd,No data,Breast,Breast,Esophagus,Esophagus,No data,168.3,47831.8,National,FCTC party,Graphic warning labels,97,Not introduced,None,0.21,77455.1,Registration activity,No coverage,Data not featured,10.6,0.05,5,Non-participant
Belize,BLZ,5.3,13.3,2.1,19.5,16.5,31.5,3,63.7,2.6,23,13,3rd-4th,15.7,5.1,Breast,High,3rd-4th,No data,Breast,Cervix uteri,Prostate,Prostate,No data,274.9,179.2,No program,FCTC party,No graphic warning labels,88,Introduced,None,0,76.8,Registration activity,Medium,Data not featured,28,1.9,1,Non-participant
Bosnia and Herzegovina,BIH,6.9,39.1,22.6,11.2,17.1,18.4,3.9,No data,1.3,28,40,2nd,62.4,13.5,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,479.2,4848.9,No program,FCTC party,No graphic warning labels,77,Not introduced,None,0.7,3067,Registration activity,Low,Data not featured,23.9,No data,0,Non-participant
Bolivia (Plurinational State of),BOL,2.7,22.3,11.8,25.8,14.5,25.6,2.7,88.1,3,22,17,2nd,10.3,5.5,Other,Medium,3rd-4th,41,Cervix uteri,Cervix uteri,Prostate,Lung,No data,285.4,6173.8,National,FCTC party,Graphic warning labels,83,Introduced,None,0.54,5943.1,PBCR,No coverage,Data not featured,38.5,0.3,3,Non-participant
Myanmar,MMR,4.7,24.8,4.8,23.6,4,7.3,0.24,94,2.3,36,84,2nd,19.5,11.9,Other,Medium,3rd-4th,3.99,Cervix uteri,Cervix uteri,Lung,Lung,No data,210.9,32958.7,Pilot,FCTC party,Graphic warning labels,89,Not introduced,None,0.27,0,PBCR,No coverage,Data not featured,21.5,0.7,5,Non-participant
Benin,BEN,3.3,8.6,1,33.4,4.7,14.2,0.34,85.6,5.2,39,90,3rd-4th,0.94,0.96,Breast,Low,5th-10th,No data,Breast,Breast,Prostate,Prostate,Regional high quality data,198.1,2679.6,Pilot,FCTC party,No graphic warning labels,82,Not introduced,None,0,5485.9,PBCR,No coverage,Data not featured,23.7,1,6,Non-participant
Belarus,BLR,11.2,39.6,6.4,12.1,22.1,26.3,5.5,32,1.6,19,0.72,2nd,54.5,5.7,Breast,Very high,2nd,No data,Breast,Colorectum,Lung,Lung,No data,649,15811.6,No program,FCTC party,Graphic warning labels,98,Not introduced,None,0.8,0,High quality PBCR,Medium,Data not featured,13.3,0.4,1,Non-participant
Brazil,BRA,8.7,15.4,8.9,11.1,18.5,25.4,2.8,56,1.8,13,6.2,2nd,16.4,10.5,Breast,High,2nd,0.5,Breast,Breast,Prostate,Lung,Regional high quality data,513.3,162093.2,No program,FCTC party,Graphic warning labels,93,Introduced,None,0.63,0,High quality PBCR,High,50.2,12.2,0.6,74,Non-participant
Bhutan,BTN,2.3,8.5,3.8,29.8,4.7,8.5,0.76,95.7,2.2,38,30,2nd,7.1,8.7,Other,Medium,3rd-4th,No data,Cervix uteri,Stomach,Stomach,Stomach,No data,137.1,258.6,Pilot,FCTC party,No graphic warning labels,98,Introduced,None,1.71,392,PBCR,No coverage,Data not featured,14.4,No data,0,Non-participant
Bulgaria,BGR,9.1,34.3,17.5,10.5,25.5,24.3,4,No data,1.5,19,16,2nd,50.1,11.3,Breast,Very high,2nd,No data,Breast,Breast,Prostate,Lung,National high quality data,591.8,13935.4,No program,FCTC party,Graphic warning labels,92,Not introduced,None,0.9,0,High quality PBCR,Medium,Data not featured,20.3,0.05,3,Non-participant
Brunei Darussalam,BRN,3.4,22.6,1.8,17.1,12.5,15.7,0.63,No data,1.9,5.9,0.2,1st,34.4,26.6,Breast,Very high,1st,No data,Breast,Lung,Colorectum,Lung,No data,572.2,463.4,No program,FCTC party,Graphic warning labels,99,Introduced,None,2.2,0,PBCR,High,Data not featured,20.6,No data,0,Non-participant
Burundi,BDI,8.6,9.7,0.9,33.8,2.1,8.6,1.3,96.4,6,39,99,3rd-4th,2.6,1.1,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Prostate,Prostate,No data,194.8,2479.2,No program,FCTC party,No graphic warning labels,91,Not introduced,None,0,6228.1,No information,No coverage,Data not featured,57.4,1.1,1,Non-participant
Canada,CAN,7.2,12.7,8.5,3.9,29.5,29.3,12.4,9,1.6,6.4,0.078,1st,31.1,29.3,Breast,Very high,1st,4.07,Breast,Lung,Prostate,Lung,Regional high quality data,1148.3,98903.2,No program,FCTC party,Graphic warning labels,69,Introduced,None,1.16,0,High quality PBCR,High,28.7,5.7,No data,22,Global Relay For Life Participant
Cambodia,KHM,5.4,32.1,2.4,26.7,2.7,4.8,0.39,89.7,2.7,26,91,2nd,21.6,8.7,Breast,Medium,2nd,No data,Breast,Liver,Liver,Liver,No data,198.9,6606.1,National,FCTC party,Graphic warning labels,93,Not introduced,None,0.13,9958.8,Registration activity,No coverage,Data not featured,13.5,0.5,1,Non-participant
Chad,TCD,5.3,11.5,1.9,24.3,3.1,8.9,0.71,90.4,6.3,66,96,3rd-4th,2,1.2,Breast,Low,5th-10th,No data,Breast,Breast,Prostate,Prostate,No data,128.9,3112,No program,FCTC party,Graphic warning labels,41,Not introduced,None,0,6021,No information,No coverage,Data not featured,19.3,1.3,3,Non-participant
Sri Lanka,LKA,5.2,22.4,0.3,16.2,2.9,7.3,0.37,94.8,2.1,11,45,2nd,8.3,2.5,Breast,High,2nd,No data,Breast,Breast,"Lip, oral cavity",Lung,No data,214.4,13335.8,No program,FCTC party,Graphic warning labels,99,Introduced,None,0.59,7148.7,PBCR,No coverage,Data not featured,7.8,0.05,0,Non-participant
Congo,COG,4,30.5,1.1,27.2,5.5,13.5,1.6,86.2,4.9,47,63,3rd-4th,3.4,1.5,Breast,Medium,5th-10th,No data,Breast,Cervix uteri,Prostate,Prostate,No data,143.5,1851.1,Pilot,FCTC party,Graphic warning labels,69,Not introduced,None,0,3711.6,PBCR,No coverage,Data not featured,17.5,3.1,5,Non-participant
Democratic Republic of the Congo,COD,2.5,14.1,0.9,30.4,3.6,9.7,1.4,95.6,6.4,45,96,3rd-4th,3.9,2.4,Breast,Low,5th-10th,No data,Breast,Cervix uteri,Prostate,Prostate,No data,153,17921.6,No program,FCTC party,No graphic warning labels,81,Not introduced,None,0,37637.9,No information,No coverage,Data not featured,24.8,0.7,6,Non-participant
Chile,CHL,4.7,28.3,24.2,14.1,24.9,31,2.5,21,1.8,21,7.5,1st,17,10.6,Breast,Very high,1st,4.6,Breast,Breast,Prostate,Stomach,Regional high quality data,512.1,21026,No program,FCTC party,Graphic warning labels,93,Introduced,None,0.94,0,High quality PBCR,High,Data not featured,12.2,0.6,4,Non-participant
Cameroon,CMR,6.8,9.1,0.5,29.3,6.1,16.4,1.1,85.5,5,73,65,3rd-4th,3,2,Breast,Medium,5th-10th,0.23,Breast,Breast,Prostate,Prostate,No data,180.5,7223.6,Pilot,FCTC party,Graphic warning labels,86,Not introduced,None,0.06,20426.4,Registration activity,No coverage,Data not featured,31.3,3.7,7,Non-participant
Colombia,COL,3.8,11.1,4.3,16.7,17.6,26.6,3.3,62,1.9,17,6.8,1st,12.7,8.1,Breast,High,1st,3.3,Breast,Breast,Prostate,Stomach,Regional high quality data,407.8,37475.6,National,FCTC party,Graphic warning labels,92,Introduced,Pilot,0.88,0,High quality PBCR,Medium,Data not featured,12.7,0.5,11,Non-participant
Costa Rica,CRI,4,8.7,2.9,15,21.1,30.4,2.2,50.6,1.9,16,6.5,1st,9.5,3.9,Breast,High,1st,2.4,Breast,Breast,Prostate,Stomach,National high quality data,487.4,5372,No program,FCTC party,Graphic warning labels,97,Introduced,None,0.62,0,High quality PBCR,Medium,Data not featured,11.2,0.4,6,Non-participant
Central African Republic,CAF,4,11.6,1.4,25.5,3.7,10.9,1.1,90.9,5.1,57,98,3rd-4th,3,1.6,Breast,Low,5th-10th,No data,Breast,Breast,Prostate,Prostate,No data,110.8,1341.1,No program,FCTC party,No graphic warning labels,47,Not introduced,None,0,4297.6,No information,No coverage,Data not featured,19.2,4,0,Non-participant
Cuba,CUB,5.7,34.6,13.3,8.4,18.9,30.3,1.4,30.9,1.7,20,2.1,1st,38.7,24.1,Breast,High,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,516.8,20716.6,No program,Not FCTC party,No graphic warning labels,99,Not introduced,None,0.4,21013.6,PBCR,High,Data not featured,14.6,0.4,3,Non-participant
Djibouti,DJI,2.1,21.6,2.8,17.2,8.6,18.3,No data,55,3.1,46,27,3rd-4th,3,2.2,Breast,Low,5th-10th,No data,Breast,Breast,Non-Hodgkin lymphoma,Non-Hodgkin lymphoma,No data,143.7,413.7,No program,FCTC party,Graphic warning labels,68,Not introduced,None,0,657.6,No information,No coverage,Data not featured,13.3,1.3,1,Non-participant
Dominican Republic,DOM,5,13.9,7.2,19.4,21,34.1,0.44,43,2.5,14,8.8,2nd,14.6,10.4,Breast,High,2nd,No data,Breast,Breast,Prostate,Prostate,No data,361.5,6685.8,No program,Not FCTC party,No graphic warning labels,81,Introduced,None,1.17,7848.5,Registration activity,Low,Data not featured,17.1,0.9,4,Non-participant
Ecuador,ECU,2.8,6.7,1.8,21.2,14.9,24.7,2.2,77.5,2.6,15,3.2,1st,7,5.4,Breast,High,1st,7,Breast,Stomach,Prostate,Prostate,Regional high quality data,362.9,9761.7,No program,FCTC party,Graphic warning labels,84,Introduced,None,0.78,7093.2,High quality PBCR,Medium,Data not featured,17.8,0.3,5,Non-participant
Ireland,IRL,8.4,19.9,17.3,5.1,25.1,25.5,16.3,2,2,8.2,0.62,1st,38.8,29.2,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,1240.5,11667.5,No program,FCTC party,Graphic warning labels,95,Introduced,None,1.26,0,High quality PBCR,High,Data not featured,11,0.2,4,Global Relay For Life Participant
Equatorial Guinea,GNQ,8.6,8.6,1.2,24.6,3.8,12.6,1.2,60.4,5,53,79,3rd-4th,6.4,2.6,Breast,Medium,5th-10th,No data,Breast,Breast,Prostate,Prostate,No data,189.2,320.6,No program,FCTC party,No graphic warning labels,25,Not introduced,None,0,1370.8,No information,No coverage,Data not featured,26.9,6.5,0,Non-participant
Estonia,EST,7.7,31.4,15.5,8.8,20.3,21.8,10.1,No data,1.6,6.7,9.6,1st,51.4,14.9,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,National high quality data,794.8,3387.5,No program,FCTC party,Graphic warning labels,92,Introduced,None,0.78,0,High quality PBCR,High,Data not featured,22.5,0.7,1,Non-participant
Eritrea,ERI,2.7,10.2,0.6,19.1,2,7.6,0.24,96.3,4.4,48,80,3rd-4th,3.3,2.6,Breast,Low,5th-10th,No data,Breast,Breast,Non-Hodgkin lymphoma,Leukemia,No data,142.6,2170.5,No program,Not FCTC party,No graphic warning labels,95,Not introduced,None,0,1880,No information,No coverage,Data not featured,13.8,0.6,0,Non-participant
El Salvador,SLV,2.4,10,3.3,23.1,18.9,28.9,0.08,80,2.2,24,19,2nd,6.4,4.8,Breast,Medium,3rd-4th,0.2,Breast,Breast,Prostate,Prostate,No data,290.3,3999.6,National,FCTC party,Graphic warning labels,85,Not introduced,Pilot,0.87,1361.2,Registration activity,Low,Data not featured,18.5,0.6,3,Non-participant
Ethiopia,ETH,2.6,6.2,0.2,24.1,1.9,6.9,0.23,97.3,4.6,39,89,3rd-4th,3.8,3.4,Breast,Low,5th-10th,No data,Breast,Breast,Leukemia,Leukemia,Regional high quality data,155.7,23364.6,Pilot,FCTC party,No graphic warning labels,73,Introduced,None,0.01,37592.9,PBCR,No coverage,0.2,18.9,0.9,1,Non-participant
Czechia,CZE,9.1,21.8,14.8,6.1,26.4,25.4,12.6,16,1.5,16,2.1,1st,38.5,18.2,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,868.2,26016.7,No program,FCTC party,Graphic warning labels,94,Introduced,None,0.95,0,High quality PBCR,High,Data not featured,9.9,0.05,2,Non-participant
Finland,FIN,6.3,17.2,14,4.3,23.7,20.6,15.8,34,1.8,5.9,0.49,1st,24.8,14.7,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,825.6,17264.3,No program,FCTC party,Graphic warning labels,No data,Introduced,None,1.35,0,High quality PBCR,High,Data not featured,4.7,No data,1,Non-participant
Fiji,FJI,4,26.8,7.8,21.2,25.1,35.3,0.87,No data,2.6,11,26,3rd-4th,8,4.8,Breast,High,3rd-4th,No data,Breast,Breast,Prostate,Liver,No data,395,535,No program,FCTC party,Graphic warning labels,99,Introduced,None,0,472.7,PBCR,Medium,Data not featured,25.9,No data,2,Non-participant
France,FRA,8.1,32.3,21.6,4.5,22,21.1,13.6,9,2,12,0.41,1st,51.3,22.5,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,Regional high quality data,1060.7,173256.9,No program,FCTC party,Graphic warning labels + plain packaging,90,Introduced,None,1.11,0,High quality PBCR,High,64.2,6.7,0.5,42,Global Relay For Life Participant
Gambia,GMB,6.6,19.3,0.8,51.3,5.6,14.8,No data,98.7,5.6,34,95,5th+,6.2,0.29,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Liver,Liver,No data,74.8,468,No program,FCTC party,No graphic warning labels,92,Not introduced,None,0,1038,PBCR,No coverage,Data not featured,29,1.6,0,Non-participant
Gabon,GAB,9.9,14.7,2.2,21.6,9.6,20.3,1.5,60.5,4,44,13,3rd-4th,10.9,4.4,Breast,High,5th-10th,No data,Breast,Cervix uteri,Prostate,Prostate,No data,238.4,631.7,No program,FCTC party,Graphic warning labels,75,Not introduced,None,1.19,1527.6,Registration activity,No coverage,Data not featured,20,4.2,2,Non-participant
Georgia,GEO,6.4,38.9,3.8,12.5,19.2,23.8,3,44.7,2,22,42,2nd,35.7,3.7,Breast,High,2nd,No data,Breast,Breast,Lung,Lung,No data,329.7,4891.6,No program,FCTC party,Graphic warning labels,91,Introduced,Pilot,1.81,0,PBCR,Low,Data not featured,9.8,0.4,4,Non-participant
Ghana,GHA,6,9.5,0.3,34.4,4.5,16.6,0.52,95.2,4.2,35,73,3rd-4th,1.8,1.3,Breast,Medium,5th-10th,No data,Breast,Cervix uteri,Prostate,Liver,No data,228.5,9712.4,Pilot,FCTC party,No graphic warning labels,99,Not introduced,None,0.18,17957.4,PBCR,No coverage,Data not featured,32.9,1.7,5,Non-participant
Germany,DEU,8,25.1,17.1,5.5,24.2,20.4,21.6,23,1.4,12,0.78,1st,41,27.4,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,Regional high quality data,1010.9,276836.6,No program,FCTC party,Graphic warning labels,87,Introduced,Pilot,0.89,0,High quality PBCR,High,Data not featured,7.5,0.2,6,Non-participant
Greece,GRC,5.5,33.5,21.6,6.9,24.2,25.4,8.7,6,1.3,16,0.68,1st,67.8,16.4,Breast,Very high,1st,No data,Breast,Breast,Lung,Lung,No data,783.8,27161.6,No program,FCTC party,Graphic warning labels,96,Introduced,None,0.79,0,Registration activity,Medium,Data not featured,8.1,0.2,4,Non-participant
Guatemala,GTM,3.8,13.4,2.5,33.6,15.1,26.4,0.76,84.4,3.2,24,46,2nd,3.9,2.5,Breast,Medium,5th-10th,41,Breast,Liver,Prostate,Liver,No data,238.9,6199.9,National,FCTC party,No graphic warning labels,82,Introduced,National,0.49,2875.6,Registration activity,High,Data not featured,21.1,0.4,6,Non-participant
Guinea,GIN,1.9,6.9,1.4,42.6,3.7,11.5,0.71,94.9,5.1,26,98,3rd-4th,3.7,1.2,Other,Low,5th-10th,No data,Cervix uteri,Cervix uteri,Liver,Liver,No data,131,3763,Pilot,FCTC party,No graphic warning labels,45,Not introduced,None,No data,7232.4,PBCR,No coverage,Data not featured,45.5,1.5,1,Non-participant
Guyana,GUY,4.9,15.8,2,21.4,12.7,27.1,No data,65.7,2.6,22,9,3rd-4th,5,2.3,Breast,Medium,3rd-4th,No data,Breast,Cervix uteri,Prostate,Prostate,No data,219.4,418.2,National,FCTC party,No graphic warning labels,97,Introduced,None,1.33,0,PBCR,Medium,Data not featured,32.7,1.7,2,Non-participant
Haiti,HTI,4.1,15.2,1.8,24.1,17.9,26.9,0.37,90.7,3.1,15,81,3rd-4th,6,7,Breast,Low,5th-10th,No data,Breast,Breast,Prostate,Prostate,No data,207.3,5322,Pilot,Not FCTC party,No graphic warning labels,58,Not introduced,None,0,9481.2,No information,No coverage,Data not featured,17.1,1.9,3,Non-participant
Honduras,HND,3.3,19.6,1.2,29.9,15.6,26.9,0.89,76.8,2.7,21,47,3rd-4th,6.8,4.8,Breast,Medium,3rd-4th,7.2,Breast,Cervix uteri,Prostate,Prostate,No data,264.7,3499.2,Pilot,FCTC party,Graphic warning labels,97,Introduced,National,0.7,3524.2,PBCR,Very low,Data not featured,19.6,0.3,4,Global Relay For Life Participant
Croatia,HRV,9.2,31.8,23.4,7.5,24.1,24.5,8,No data,1.5,18,11,1st,50.9,18,Breast,Very high,1st,No data,Breast,Breast,Prostate,Lung,National high quality data,769.8,11061.6,No program,FCTC party,Graphic warning labels,94,Introduced,None,0.67,0,High quality PBCR,High,Data not featured,7.9,No data,2,Non-participant
Hungary,HUN,11.4,31.5,20.8,7.8,28.2,24.6,10.1,No data,1.3,16,16,1st,77.4,41.4,Breast,Very high,1st,No data,Breast,Lung,Lung,Lung,No data,984,20507,No program,FCTC party,Graphic warning labels + plain packaging,No data,Introduced,None,0.55,0,Registration activity,High,Data not featured,17.2,0.05,1,Non-participant
Iceland,ISL,5.5,14.5,14.4,3.7,24.2,19.4,10.1,No data,2,6.5,0.53,1st,27.7,32.5,Breast,Very high,1st,No data,Breast,Lung,Prostate,Lung,National high quality data,810.8,880.6,No program,FCTC party,Graphic warning labels,No data,Introduced,None,1.32,0,High quality PBCR,High,Data not featured,7.6,No data,1,Non-participant
