Borough,INCOME LEVEL,DBA,STREET,GRADE DATE,LATITUDE,LONGITUDE
Manhattan,high income,SUBWAY,CHAMBERS STREET,3/3/2020,40.716432,-74.010472
Manhattan,high income,PALM RESTAURANT,CHAMBERS STREET,3/2/2020,40.716432,-74.010472
Manhattan,high income,BENARES RESTAURANT,MURRAY STREET,3/3/2020,40.714779,-74.011128
Manhattan,high income,LITTLE ITALY PIZZA,PARK PLACE,3/3/2020,40.713717,-74.010321
Manhattan,high income,FLASHDANCERS GENTLEMEN'S CLUB,MURRAY STREET,3/2/2020,40.714779,-74.011128
Manhattan,high income,PRET A MANGER,CHURCH STREET,2/27/2020,40.713718,-74.008805
Manhattan,high income,ONE WORLD OBSERVATORY,WORLD TRADE CTR,3/2/2020,40.713941,-74.007401
Manhattan,high income,STARBUCKS,BROADWAY,3/2/2020,40.713538,-74.00674
Manhattan,high income,EPICERIE BOULUD,GREENWICH STREET,3/13/2020,40.715553,-74.011021
Manhattan,high income,DARKHORSE,MURRAY STREET,3/13/2020,40.714779,-74.011128
Manhattan,high income,VIN SUR VINGT,WEST BROADWAY,3/10/2020,40.714461,-74.010361
Manhattan,high income,BNY MELLON EXECUTIVE DINNING ROOM,GREENWICH STREET,3/12/2020,40.715553,-74.011021
Manhattan,high income,DUNKIN',CHURCH STREET,3/10/2020,40.713718,-74.008805
Manhattan,high income,JOE & THE JUICE (OCULUS WESTFIELD),GREENWICH STREET,10/29/2019,40.715553,-74.011021
Manhattan,high income,CHIPOTLE MEXICAN GRILL,BROADWAY,10/16/2019,40.713538,-74.00674
Manhattan,high income,AROMA ESPRESSO BAR,CHURCH STREET,10/18/2019,40.713718,-74.008805
Manhattan,high income,CAFE/ 911 MUSEUM,GREENWICH STREET,10/16/2019,40.715553,-74.011021
Manhattan,high income,LUNA PIZZA,PARK ROW,10/15/2019,40.712149,-74.005895
Manhattan,high income,AAHAR,MURRAY STREET,10/29/2019,40.714779,-74.011128
Manhattan,high income,A SAFFRON THREAD,CHAMBERS STREET,10/31/2019,40.716432,-74.010472
Manhattan,high income,BURRITO MARIACHI,CHURCH STREET,10/29/2019,40.713718,-74.008805
Manhattan,high income,FIVE AND DIME,PARK PLACE,10/29/2019,40.713717,-74.010321
Manhattan,high income,FEDOROFF'S STEAKS,CORTLANDT STREET,10/25/2019,40.710238,-74.011008
Manhattan,high income,APPLE GOURMET,BROADWAY,11/15/2019,40.713538,-74.00674
Manhattan,high income,POKE GREEN,GREENWICH STREET,11/19/2019,40.715553,-74.011021
Manhattan,high income,LYFEPING,CHAMBERS STREET,11/13/2019,40.716432,-74.010472
Manhattan,high income,WARREN 77,WARREN STREET,11/12/2019,40.715463,-74.01084
Manhattan,high income,J R SUSHI,WEST BROADWAY,11/26/2019,40.714461,-74.010361
Manhattan,high income,AKIMOTO SUSHI,CHURCH STREET,11/13/2019,40.713718,-74.008805
Manhattan,high income,SCHNIPPERS,CHURCH STREET,11/13/2019,40.713718,-74.008805
Manhattan,high income,BLISS BOWL,GREENWICH STREET,11/26/2019,40.715553,-74.011021
Manhattan,high income,DUNKIN',CHAMBERS STREET,11/13/2019,40.716432,-74.010472
Manhattan,high income,KAFFE 1668,GREENWICH STREET,12/5/2019,40.715553,-74.011021
Manhattan,high income,GUCKENHEIMER CAFE @ SPOTIFY,GREENWICH STREET,12/16/2019,40.715553,-74.011021
Manhattan,high income,STARBUCKS,CHURCH STREET,11/20/2019,40.713718,-74.008805
Manhattan,high income,LOS TACOS NO.1,CHURCH STREET,12/20/2019,40.713718,-74.008805
Manhattan,high income,TAKUMI JAPANESE CUISINE,CHAMBERS STREET,12/13/2019,40.716432,-74.010472
Manhattan,high income,FRANKLIN SQUARE CAFE @ HARPER COLLINS,BROADWAY,12/13/2019,40.713538,-74.00674
Manhattan,high income,MBJ DOWNTOWN (BMCC cafeteria),CHAMBERS STREET,12/5/2019,40.716432,-74.010472
Manhattan,high income,CHINA RED GOURMENT,CHAMBERS STREET,12/13/2019,40.716432,-74.010472
Manhattan,high income,LADY M CONFECTIONS,LIBERTY STREET,12/2/2019,40.709283,-74.010252
Manhattan,high income,CHECKERS,CHAMBERS STREET,12/13/2019,40.716432,-74.010472
Manhattan,high income,CUT BY WOLFGANG PUCK,CHURCH STREET,11/29/2019,40.713718,-74.008805
Manhattan,high income,STARBUCKS,BROADWAY,12/16/2019,40.713538,-74.00674
Manhattan,high income,TAKAHACHI BAKERY,MURRAY STREET,12/18/2019,40.714779,-74.011128
Manhattan,high income,THE HUMMUS & PITA CO.,CHAMBERS STREET,9/12/2019,40.716432,-74.010472
Manhattan,high income,JUICE PRESS @ EQUINOX,MURRAY STREET,9/9/2019,40.714779,-74.011128
Manhattan,high income,ZUCKER'S BAGELS AND SMOKED FISH,CHAMBERS STREET,9/10/2019,40.716432,-74.010472
Manhattan,high income,HUNGRY GHOST COFFEE,CHURCH STREET,9/12/2019,40.713718,-74.008805
Manhattan,high income,JOE COFFEE COMPANY,GREENWICH STREET,9/6/2019,40.715553,-74.011021
Manhattan,high income,DARKHORSE,MURRAY STREET,9/12/2019,40.714779,-74.011128
Manhattan,high income,STAGE DOOR DELI,VESEY STREET,9/5/2019,40.712904,-74.011241
Manhattan,high income,MARIACHI'S RESTAURANT,CHAMBERS STREET,9/5/2019,40.716432,-74.010472
Manhattan,high income,GROUP M,GREENWICH STREET,9/6/2019,40.715553,-74.011021
Manhattan,high income,OX VERTE,READE STREET,3/8/2019,40.714806,-74.005451
Manhattan,high income,AKIMOTO SUSHI,CHURCH STREET,3/11/2019,40.713718,-74.008805
Manhattan,high income,VIN SUR VINGT,WEST BROADWAY,3/18/2019,40.714461,-74.010361
Manhattan,high income,N.Y. ACADEMY OF SCIENCE,GREENWICH STREET,3/1/2019,40.715553,-74.011021
Manhattan,high income,DARKHORSE,MURRAY STREET,3/1/2019,40.714779,-74.011128
Manhattan,high income,VIVI BUBBLE TEA,BROADWAY,3/8/2019,40.713538,-74.00674
Manhattan,high income,PALM RESTAURANT,CHAMBERS STREET,2/26/2019,40.716432,-74.010472
Manhattan,high income,WOODROWS,MURRAY STREET,2/26/2019,40.714779,-74.011128
Manhattan,high income,AROME,BROADWAY,2/26/2019,40.713538,-74.00674
Manhattan,high income,PRET A MANGER,CHURCH STREET,2/25/2019,40.713718,-74.008805
Manhattan,high income,MANHATTAN PROPER,MURRAY STREET,2/26/2019,40.714779,-74.011128
Manhattan,high income,EPICERIE BOULUD,GREENWICH STREET,2/25/2019,40.715553,-74.011021
Manhattan,high income,GUNBAE,MURRAY STREET,4/1/2019,40.714779,-74.011128
Manhattan,high income,SHEEZAN RESTAURANT,CHURCH STREET,4/8/2019,40.713718,-74.008805
Manhattan,high income,PRET A MANGER,BROADWAY,3/29/2019,40.713538,-74.00674
Manhattan,high income,NEW FRESCO TORTILLAS,READE STREET,4/5/2019,40.714806,-74.005451
Manhattan,high income,GRAN MORSI,WARREN STREET,3/28/2019,40.715463,-74.01084
Manhattan,high income,NOBU 195,BROADWAY,3/21/2019,40.713538,-74.00674
Manhattan,high income,WICHCRAFT,BROADWAY,4/4/2019,40.713538,-74.00674
Manhattan,high income,FOUR SEASONS HOTEL BANQUET KITCHEN,BARCLAY STREET,3/25/2019,40.713458,-74.0106
Manhattan,high income,TRE SORELLE,READE STREET,3/25/2019,40.714806,-74.005451
Manhattan,high income,LE PAIN QUOTIDIEN,WEST BROADWAY,4/8/2019,40.714461,-74.010361
Manhattan,high income,JUPIOCA,CHURCH STREET,4/8/2019,40.713718,-74.008805
Manhattan,high income,MUDVILLE SALOON,CHAMBERS STREET,3/28/2019,40.716432,-74.010472
Manhattan,high income,POTBELLY SANDWICH WORKS,BROADWAY,3/29/2019,40.713538,-74.00674
Manhattan,high income,SOPHIE'S CUBAN CUISINE,CHAMBERS STREET,4/1/2019,40.716432,-74.010472
Manhattan,high income,DARKHORSE,MURRAY STREET,1/8/2019,40.714779,-74.011128
Manhattan,high income,KAFFE 1668,GREENWICH STREET,1/14/2019,40.715553,-74.011021
Manhattan,high income,1803,READE STREET,1/15/2019,40.714806,-74.005451
Manhattan,high income,LITTLE ITALY PIZZA,PARK PLACE,2/5/2019,40.713717,-74.010321
Manhattan,high income,MAXWELL'S,READE STREET,1/23/2019,40.714806,-74.005451
Manhattan,high income,SPOTIFY - BARISTA BAR,GREENWICH STREET,1/25/2019,40.715553,-74.011021
Manhattan,high income,BARCLAY STREET CAFE,GREENWICH STREET,1/2/2019,40.715553,-74.011021
Manhattan,high income,ELIEZER KITCHEN,CHURCH STREET,2/5/2019,40.713718,-74.008805
Manhattan,high income,STARBUCKS COFFEE COMPANY #29854,GREENWICH STREET,1/9/2019,40.715553,-74.011021
Manhattan,high income,MCDONALD'S,CHAMBERS STREET,1/25/2019,40.716432,-74.010472
Manhattan,high income,STARBUCKS,BROADWAY,1/9/2019,40.713538,-74.00674
Manhattan,high income,BLUESPOON COFFEE,CHAMBERS STREET,1/25/2019,40.716432,-74.010472
Manhattan,high income,WILMER HALE,WORLD TRADE CENTER,1/4/2019,40.713941,-74.007401
Manhattan,high income,DELIMARIE,DUANE STREET,2/22/2019,40.71511,-74.005162
Manhattan,high income,SALAD BOX USA,PARK PLACE,2/4/2019,40.713717,-74.010321
Manhattan,high income,MILLENIUM HILTON,CHURCH STREET,2/21/2019,40.713718,-74.008805
Manhattan,high income,MAJESTIC PIZZA,CORTLANDT STREET,2/5/2019,40.710238,-74.011008
Manhattan,high income,LITTLE PARK,WEST BROADWAY,2/12/2019,40.714461,-74.010361
Manhattan,high income,THE PATRIOT SALOON,CHAMBERS STREET,2/21/2019,40.716432,-74.010472
Manhattan,high income,FLASHDANCERS GENTLEMEN'S CLUB,MURRAY STREET,2/21/2019,40.714779,-74.011128
Manhattan,high income,FOUR SEASONS HOTEL  EMPLOYEE CAFETERIA4,BARCLAY STREET,2/11/2019,40.713458,-74.0106
Manhattan,high income,DUNKIN',CHURCH STREET,2/12/2019,40.713718,-74.008805
Manhattan,high income,SUBWAY,CHAMBERS STREET,2/21/2019,40.716432,-74.010472
Manhattan,high income,CHIPOTLE MEXICAN GRILL,GREENWICH STREET,2/12/2019,40.715553,-74.011021
Manhattan,high income,MARIACHI'S RESTAURANT,CHAMBERS STREET,2/1/2019,40.716432,-74.010472
Manhattan,high income,ATOMIC WINGS,BROADWAY,2/22/2019,40.713538,-74.00674
Manhattan,high income,STARBUCKS,BROADWAY,2/22/2019,40.713538,-74.00674
Manhattan,high income,RACINES,CHAMBERS STREET,2/22/2019,40.716432,-74.010472
Manhattan,high income,ELIM BISTRO,PARK PLACE,2/11/2019,40.713717,-74.010321
Manhattan,high income,MULBERRY & VINE,WARREN STREET,2/11/2019,40.715463,-74.01084
Manhattan,high income,SWEETCATCH POKE,GREENWICH STREET,9/27/2019,40.715553,-74.011021
Manhattan,high income,MCDONALD'S,CHAMBERS STREET,10/4/2019,40.716432,-74.010472
Manhattan,high income,LYFEPING,CHAMBERS STREET,9/27/2019,40.716432,-74.010472
Manhattan,high income,CAFE 101 16TH FLOOR CAFETERIA,BARCLAY STREET,9/27/2019,40.713458,-74.0106
Manhattan,high income,ANDY'S DELI,BROADWAY,10/1/2019,40.713538,-74.00674
Manhattan,high income,B & Co.,PARK PLACE,10/4/2019,40.713717,-74.010321
Manhattan,high income,BENTO SUSHI,BROADWAY,10/4/2019,40.713538,-74.00674
Manhattan,high income,ONE WORLD OBSERVATORY,WORLD TRADE CTR,10/4/2019,40.713941,-74.007401
Manhattan,high income,TAKUMI JAPANESE CUISINE,CHAMBERS STREET,7/23/2019,40.716432,-74.010472
Manhattan,high income,ELIM BISTRO,PARK PLACE,7/23/2019,40.713717,-74.010321
Manhattan,high income,WILMER HALE,WORLD TRADE CENTER,7/2/2019,40.713941,-74.007401
Manhattan,high income,NOBU 195,BROADWAY,7/29/2019,40.713538,-74.00674
Manhattan,high income,AROME,BROADWAY,7/10/2019,40.713538,-74.00674
Manhattan,high income,JOE & THE JUICE GREENWICH ST,GREENWICH STREET,7/9/2019,40.715553,-74.011021
Manhattan,high income,MANHATTAN PROPER,MURRAY STREET,7/11/2019,40.714779,-74.011128
Manhattan,high income,FOUR SEASONS HOTEL  EMPLOYEE CAFETERIA4,BARCLAY STREET,7/5/2019,40.713458,-74.0106
Manhattan,high income,MAJESTIC PIZZA,CORTLANDT STREET,7/12/2019,40.710238,-74.011008
Manhattan,high income,BENARES RESTAURANT,MURRAY STREET,7/9/2019,40.714779,-74.011128
Manhattan,high income,LENWICH,PARK PLACE,7/17/2019,40.713717,-74.010321
Manhattan,high income,NEXUS CLUB NEW YORK,CHURCH STREET,7/9/2019,40.713718,-74.008805
Manhattan,high income,MAXWELL'S,READE STREET,7/25/2019,40.714806,-74.005451
Manhattan,high income,MULBERRY & VINE,WARREN STREET,7/25/2019,40.715463,-74.01084
Manhattan,high income,MONK MCGINNS,MURRAY STREET,8/2/2019,40.714779,-74.011128
Manhattan,high income,SUBWAY,CHURCH STREET,8/9/2019,40.713718,-74.008805
Manhattan,high income,GEE WHIZ,GREENWICH STREET,7/30/2019,40.715553,-74.011021
Manhattan,high income,TRE SORELLE,READE STREET,8/7/2019,40.714806,-74.005451
Manhattan,high income,Dunkin',CORTLANDT STREET,8/8/2019,40.710238,-74.011008
Manhattan,high income,DUNKIN',BROADWAY,4/26/2019,40.713538,-74.00674
Manhattan,high income,AAHAR,MURRAY STREET,4/29/2019,40.714779,-74.011128
Manhattan,high income,BABA GHANOUGE,CHURCH STREET,4/26/2019,40.713718,-74.008805
Manhattan,high income,MUSCLE MAKER GRILL,MURRAY STREET,4/26/2019,40.714779,-74.011128
Manhattan,high income,DUNKIN',PARK PLACE,4/16/2019,40.713717,-74.010321
Manhattan,high income,ZUCKER'S BAGELS AND SMOKED FISH,CHAMBERS STREET,5/1/2019,40.716432,-74.010472
Manhattan,high income,JUICE PRESS @ EQUINOX,MURRAY STREET,4/26/2019,40.714779,-74.011128
Manhattan,high income,SUBWAY,BROADWAY,5/17/2019,40.713538,-74.00674
Manhattan,high income,CAFE 101,BARCLAY STREET,5/17/2019,40.713458,-74.0106
Manhattan,high income,1803,READE STREET,6/4/2019,40.714806,-74.005451
Manhattan,high income,MARIACHI'S RESTAURANT,CHAMBERS STREET,5/21/2019,40.716432,-74.010472
Manhattan,high income,STARBUCKS COFFEE,WORLD TRADE CENTER,5/13/2019,40.713941,-74.007401
Manhattan,high income,JOE COFFEE COMPANY,GREENWICH STREET,5/7/2019,40.715553,-74.011021
Manhattan,high income,WASABI SUSHI BENTO (OCULUS WEST CONCOURSE),GREENWICH STREET,5/10/2019,40.715553,-74.011021
Manhattan,high income,CONVENE AT ONE WORLD COMMONS,WORLD TRADE CTR,5/10/2019,40.713941,-74.007401
Manhattan,high income,BARNES & NOBLE CAFE,WARREN STREET,5/17/2019,40.715463,-74.01084
Manhattan,high income,DONA BELLA  PIZZA,CHURCH STREET,5/6/2019,40.713718,-74.008805
Manhattan,high income,PRET A MANGER,GREENWICH STREET,5/6/2019,40.715553,-74.011021
Manhattan,high income,J R SUSHI,WEST BROADWAY,6/4/2019,40.714461,-74.010361
Manhattan,high income,MOODY'S CAFETERIA,GREENWICH STREET,6/7/2019,40.715553,-74.011021
Manhattan,high income,DEVON & BLAKELY,GREENWICH STREET,5/28/2019,40.715553,-74.011021
Manhattan,high income,A SAFFRON THREAD,CHAMBERS STREET,6/4/2019,40.716432,-74.010472
Manhattan,high income,PRET A MANGER,BROADWAY,5/28/2019,40.713538,-74.00674
Manhattan,high income,MCDONALD'S,CHAMBERS STREET,6/4/2019,40.716432,-74.010472
Manhattan,high income,CAFE/ 911 MUSEUM,GREENWICH STREET,6/5/2019,40.715553,-74.011021
Manhattan,high income,SOLE DI CAPRI,CHURCH STREET,6/10/2019,40.713718,-74.008805
Manhattan,high income,AROMA ESPRESSO BAR,CHURCH STREET,6/7/2019,40.713718,-74.008805
Manhattan,high income,LA BELLEZZA PIZZERIA,BROADWAY,6/7/2019,40.713538,-74.00674
Manhattan,high income,ANDY'S DELI,BROADWAY,5/31/2019,40.713538,-74.00674
Manhattan,high income,DOMINO'S,CHURCH STREET,6/3/2019,40.713718,-74.008805
Manhattan,high income,BURRITO MARIACHI,CHURCH STREET,5/31/2019,40.713718,-74.008805
Manhattan,high income,WOODROWS,MURRAY STREET,6/27/2019,40.714779,-74.011128
Manhattan,high income,KAFFE 1668,GREENWICH STREET,6/27/2019,40.715553,-74.011021
Manhattan,high income,B & Co.,PARK PLACE,6/14/2019,40.713717,-74.010321
Manhattan,high income,JOE & THE JUICE (OCULUS WESTFIELD),GREENWICH STREET,6/13/2019,40.715553,-74.011021
Manhattan,high income,LARRA'S POKE BAR,PARK PLACE,6/28/2019,40.713717,-74.010321
Manhattan,high income,APPLE GOURMET,BROADWAY,6/18/2019,40.713538,-74.00674
Manhattan,high income,BLUESPOON COFFEE,CHAMBERS STREET,6/17/2019,40.716432,-74.010472
Manhattan,high income,FIG & OLIVE,LEXINGTON AVENUE,1/15/2020,40.76543,-73.966142
Manhattan,high income,GREEK EATS,1 AVENUE,12/23/2019,40.764584,-73.963013
Manhattan,high income,BURGER HEAVEN,LEXINGTON AVENUE,12/27/2019,40.76543,-73.966142
Manhattan,high income,PIZZA PARK,FIRST AVENUE,1/16/2020,40.763294,-73.959219
Manhattan,high income,BAKER STREET PUB,1 AVENUE,1/17/2020,40.764584,-73.963013
Manhattan,high income,TONY'S DI NAPOLI,3 AVENUE,1/15/2020,40.764584,-73.963013
Manhattan,high income,GOTHAM CAFE,2 AVENUE,12/23/2019,40.764584,-73.963013
Manhattan,high income,AMERICAS CAFE & GRILL,3 AVENUE,1/16/2020,40.764584,-73.963013
Manhattan,high income,STARBUCKS,3 AVENUE,1/2/2020,40.764584,-73.963013
Manhattan,high income,KNICKERBOCKER CLUB,EAST   62 STREET,12/26/2019,40.762618,-73.963444
Manhattan,high income,DONNA MARGHERITIA,2 AVENUE,1/23/2020,40.764584,-73.963013
Manhattan,high income,BEST PIZZA II,1 AVENUE,1/7/2020,40.764584,-73.963013
Manhattan,high income,GREGORYS COFFEE,1 AVENUE,1/23/2020,40.764584,-73.963013
Manhattan,high income,JUICE ISLAND,3 AVENUE,1/3/2020,40.764584,-73.963013
Manhattan,high income,TREADWELL PARK/SUGAR EAST,1 AVENUE,1/29/2020,40.764584,-73.963013
Manhattan,high income,CASABLANCA GRILL,1 AVENUE,2/13/2020,40.764584,-73.963013
Manhattan,high income,EL PORRON,1 AVENUE,2/13/2020,40.764584,-73.963013
Manhattan,high income,HOTEL PIERRE-BANQUET KITCHEN,EAST   61 STREET,1/31/2020,40.76149,-73.963073
Manhattan,high income,COLONY CLUB,PARK AVENUE,1/27/2020,40.767364,-73.966849
Manhattan,high income,CMX-CINEBISTRO,EAST   62 STREET,1/28/2020,40.762618,-73.963444
Manhattan,high income,CHIPOTLE MEXICAN GRILL,3 AVENUE,2/5/2020,40.764584,-73.963013
Manhattan,high income,SUBWAY,1 AVENUE,2/7/2020,40.764584,-73.963013
Manhattan,high income,SUBWAY,2 AVENUE,2/5/2020,40.764584,-73.963013
Manhattan,high income,PADOCA BAKERY,EAST   68 STREET,1/31/2020,40.767054,-73.962933
Manhattan,high income,PICK A BAGEL,LEXINGTON AVENUE,2/7/2020,40.76543,-73.966142
Manhattan,high income,KOME WAZA,1 AVENUE,1/31/2020,40.764584,-73.963013
Manhattan,high income,ALICES TEA CUP CHAPTER 2,EAST   64 STREET,1/31/2020,40.765226,-73.966366
Manhattan,high income,PALAIS,EAST   61 STREET,1/31/2020,40.76149,-73.963073
Manhattan,high income,ZAVO,3 AVENUE,1/27/2020,40.764584,-73.963013
Manhattan,high income,WONG ASIAN FOOD,1 AVENUE,2/28/2020,40.764584,-73.963013
Manhattan,high income,ROCKEFELLER UNIVERSITY - EMPLOYEE DINING,YORK AVENUE,2/24/2020,40.76249,-73.957225
Manhattan,high income,ONE LENOX,1 AVENUE,3/4/2020,40.764584,-73.963013
Manhattan,high income,GOURMET BAGEL,LEXINGTON AVENUE,2/21/2020,40.76543,-73.966142
Manhattan,high income,EATILY FOODS,PARK AVENUE,2/24/2020,40.767364,-73.966849
Manhattan,high income,SUBWAY INN,2 AVENUE,3/4/2020,40.764584,-73.963013
Manhattan,high income,VERITABLE,2 AVENUE,2/24/2020,40.764584,-73.963013
Manhattan,high income,AUGUST,LEXINGTON AVENUE,3/4/2020,40.76543,-73.966142
Manhattan,high income,GINGER ROOT,1 AVENUE,2/24/2020,40.764584,-73.963013
Manhattan,high income,ARABELLE,EAST   64 STREET,2/25/2020,40.765226,-73.966366
Manhattan,high income,RITZ DINER,1 AVENUE,3/10/2020,40.764584,-73.963013
Manhattan,high income,ELIM DELI CAFE,LEXINGTON AVENUE,3/11/2020,40.76543,-73.966142
Manhattan,high income,HALE & HEARTY SOUP,LEXINGTON AVENUE,3/11/2020,40.76543,-73.966142
Manhattan,high income,SERAFINA GRILL,EAST 61 ST STREET,3/16/2020,40.76149,-73.963073
Manhattan,high income,JACKSON HOLE,EAST   64 STREET,3/16/2020,40.765226,-73.966366
Manhattan,high income,L&Y HAWA JUICE STORE,2 AVENUE,10/16/2019,40.764584,-73.963013
Manhattan,high income,REGENCY WHIST CLUB,EAST   67 STREET,10/25/2019,40.766428,-73.963391
Manhattan,high income,HALE & HEARTY SOUP,LEXINGTON AVENUE,10/8/2019,40.76543,-73.966142
Manhattan,high income,WING BISTRO,1 AVENUE,10/8/2019,40.764584,-73.963013
Manhattan,high income,David Burke Tavern,EAST   62 STREET,11/20/2019,40.762618,-73.963444
Manhattan,high income,LOCO COCO,LEXINGTON AVENUE,10/31/2019,40.76543,-73.966142
Manhattan,high income,GINA MEXICANA,EAST   61 STREET,10/16/2019,40.76149,-73.963073
Manhattan,high income,LEZZET TURKISH RESTAURANT,EAST   61 STREET,10/24/2019,40.76149,-73.963073
Manhattan,high income,QUANTUM LEAP,1 AVENUE,10/15/2019,40.764584,-73.963013
Manhattan,high income,"DUNKIN', BASKIN ROBBINS",1 AVENUE,10/25/2019,40.764584,-73.963013
Manhattan,high income,BAGEL EXPRESS II,2 AVENUE,10/16/2019,40.764584,-73.963013
Manhattan,high income,JOHN & TONY'S PIZZA,1 AVENUE,11/21/2019,40.764584,-73.963013
Manhattan,high income,MEDITERRANEO,2 AVENUE,11/8/2019,40.764584,-73.963013
Manhattan,high income,BLUE & GOLD DELI,EAST   62 STREET,11/15/2019,40.762618,-73.963444
Manhattan,high income,MOTI MAHAL DELUX,1 AVENUE,11/20/2019,40.764584,-73.963013
Manhattan,high income,MAYA,1 AVENUE,11/21/2019,40.764584,-73.963013
Manhattan,high income,ZAWA JAPANESE,EAST   66 STREET,11/7/2019,40.76578,-73.96386
Manhattan,high income,CAFE BLU,EAST   62 STREET,11/22/2019,40.762618,-73.963444
Manhattan,high income,SUSHI SEKI,1 AVENUE,11/7/2019,40.764584,-73.963013
Manhattan,high income,DANIEL,EAST   65 STREET,11/7/2019,40.765439,-73.964159
Manhattan,high income,THE SPOTTED DOG,1 AVENUE,11/21/2019,40.764584,-73.963013
Manhattan,high income,SANT AMBROEUS COFFEE BAR,3 AVENUE,11/22/2019,40.764584,-73.963013
Manhattan,high income,STARBUCKS COFFEE,3 AVENUE,11/7/2019,40.764584,-73.963013
Manhattan,high income,OAXACA TAQUERIA,1 AVENUE,11/15/2019,40.764584,-73.963013
Manhattan,high income,GINZA,LEXINGTON AVENUE,11/20/2019,40.76543,-73.966142
Manhattan,high income,FELICE 64 WINE BAR,1 AVENUE,11/21/2019,40.764584,-73.963013
Manhattan,high income,JOE & THE JUICE,LEXINGTON AVENUE,1/6/2020,40.76543,-73.966142
Manhattan,high income,COZY CORNER/CHICKEN LOVER,2 AVENUE,12/4/2019,40.764584,-73.963013
Manhattan,high income,STARBUCKS,1 AVENUE,12/18/2019,40.764584,-73.963013
Manhattan,high income,DYLAN'S CANDY BAR,3 AVENUE,12/18/2019,40.764584,-73.963013
Manhattan,high income,FRED'S AT BARNEY'S,MADISON AVENUE,12/18/2019,40.766788,-73.969371
Manhattan,high income,AMARANTH,EAST   62 STREET,12/4/2019,40.762618,-73.963444
Manhattan,high income,IMLI,1 AVENUE,9/5/2019,40.764584,-73.963013
Manhattan,high income,WONG ASIAN FOOD,1 AVENUE,9/3/2019,40.764584,-73.963013
Manhattan,high income,1ST AVE GOURMET,1 AVENUE,9/3/2019,40.764584,-73.963013
Manhattan,high income,LOEWS REGENCY BAR AND GRILL,PARK AVENUE,9/5/2019,40.767364,-73.966849
Manhattan,high income,ATAMI,2 AVENUE,8/27/2019,40.764584,-73.963013
Manhattan,high income,FAMOUS FAMIGLIA PIZZERIA,1 AVENUE,9/3/2019,40.764584,-73.963013
Manhattan,high income,TONY'S DI NAPOLI,3 AVENUE,9/4/2019,40.764584,-73.963013
Manhattan,high income,DUNKIN',1 AVENUE,8/27/2019,40.764584,-73.963013
Manhattan,high income,DUNKIN',LEXINGTON AVENUE,8/27/2019,40.76543,-73.966142
Manhattan,high income,PICK A BAGEL,LEXINGTON AVENUE,9/30/2019,40.76543,-73.966142
Manhattan,high income,WORLD CUP CAFE (LOCATED INSIDE HUNTER COLLEGE. ENTRANCE IS ON 68TH STREET & LEXINGTON AVE),PARK AVENUE,9/6/2019,40.767364,-73.966849
