DBA,STREET,INCOME_LEVEL,CUISINE_DESCRIPTION,SCORE,GRADE
27 SPORTS BAR & CAFE,WEST MOUNT EDEN AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
27 SPORTS BAR & CAFE,WEST MOUNT EDEN AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12,A
27 SPORTS BAR & CAFE,WEST MOUNT EDEN AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,A
2A,AVENUE A,medium income,American,11,A
2A,AVENUE A,medium income,American,11,A
2A,AVENUE A,medium income,American,12,A
2A,AVENUE A,medium income,American,12,A
2A,AVENUE A,medium income,American,12,A
2A,AVENUE A,medium income,American,12,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
2ND AVENUE DELI,1 AVENUE,high income,Jewish/Kosher,10,A
3 DELI & GRILL,EAST   55 STREET,high income,American,12,A
3 DELI & GRILL,EAST   55 STREET,high income,American,7,A
5 BURRO CAFE,AUSTIN STREET,medium income,Mexican,11,A
5 BURRO CAFE,AUSTIN STREET,medium income,Mexican,11,A
5 BURRO CAFE,AUSTIN STREET,medium income,Mexican,2,A
5 BURRO CAFE,AUSTIN STREET,medium income,Mexican,11,A
5 BURRO CAFE,AUSTIN STREET,medium income,Mexican,28,C
5 NAPKIN BURGER,BROADWAY,high income,Hamburgers,12,A
5 NAPKIN BURGER,BROADWAY,high income,Hamburgers,16,B
535 MADISON CAFE,MADISON AVENUE,high income,American,10,A
535 MADISON CAFE,MADISON AVENUE,high income,American,10,A
55 THOMAS CAFE,THOMAS STREET,high income,American,7,A
55 THOMAS CAFE,THOMAS STREET,high income,American,7,A
55 THOMAS CAFE,THOMAS STREET,high income,American,10,A
55 THOMAS CAFE,THOMAS STREET,high income,American,10,A
59E59 BAR,EAST   59 STREET,high income,American,3,A
59E59 BAR,EAST   59 STREET,high income,American,12,A
59E59 BAR,EAST   59 STREET,high income,American,12,A
5C CAFE & CULTURAL CENTER,AVENUE C,medium income,Caf̩/Coffee/Tea,12,A
5C CAFE & CULTURAL CENTER,AVENUE C,medium income,Caf̩/Coffee/Tea,13,A
696 GOURMET DELI,3 AVENUE,high income,American,21,B
696 GOURMET DELI,3 AVENUE,high income,American,21,B
696 GOURMET DELI,3 AVENUE,high income,American,21,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,13,A
696 GOURMET DELI,3 AVENUE,high income,American,13,A
696 GOURMET DELI,3 AVENUE,high income,American,13,A
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,27,B
696 GOURMET DELI,3 AVENUE,high income,American,12,A
696 GOURMET DELI,3 AVENUE,high income,American,12,A
696 GOURMET DELI,3 AVENUE,high income,American,12,A
696 GOURMET DELI,3 AVENUE,high income,American,9,A
696 GOURMET DELI,3 AVENUE,high income,American,9,A
696 GOURMET DELI,3 AVENUE,high income,American,9,A
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Mediterranean,10,A
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Mediterranean,10,A
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Mediterranean,20,B
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Mediterranean,9,A
718 HOOKAH LOUNGE,AUSTIN ST,medium income,Mediterranean,20,B
7B BAR,AVENUE B,medium income,American,9,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,12,A
A LA TURKA,2 AVENUE,high income,Mediterranean,12,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,11,A
A LA TURKA,2 AVENUE,high income,Mediterranean,5,A
A LA TURKA,2 AVENUE,high income,Mediterranean,5,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,13,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,12,A
A SAFFRON THREAD,CHAMBERS STREET,high income,Indian,12,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABC BEER CO.,AVENUE C,medium income,Sandwiches,10,A
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,6,A
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,26,B
ABURIYA KINNOSUKE,EAST   45 STREET,high income,Japanese,10,A
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,15,B
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,15,B
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,9,A
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,9,A
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,13,A
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,13,A
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,12,A
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,12,A
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,11,A
ACCRA RESTAURANT,DAVIDSON AVENUE,low income,African,11,A
ACE BAR,EAST    5 STREET,medium income,American,12,A
ACE BAR,EAST    5 STREET,medium income,American,12,A
ACE BAR,EAST    5 STREET,medium income,American,11,A
ACE BAR,EAST    5 STREET,medium income,American,11,A
ACE BAR,EAST    5 STREET,medium income,American,7,A
ACE BAR,EAST    5 STREET,medium income,American,7,A
ACE BAR,EAST    5 STREET,medium income,American,7,A
ACE BAR,EAST    5 STREET,medium income,American,7,A
ADAYA AFRICAN AMERICAN RESTAURANT,WEBSTER AVENUE,low income,African,23,B
ADAYA AFRICAN AMERICAN RESTAURANT,WEBSTER AVENUE,low income,African,11,A
AFRICAN MARKET (BABOON CAFE),SOUTHERN BOULEVARD,low income,American,2,A
AGED,70TH RD,medium income,Steak,5,A
AGED,70TH RD,medium income,Steak,5,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,4,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,4,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,12,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,4,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,4,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,9,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,9,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,9,A
AGORA TAVERNA,AUSTIN STREET,medium income,Greek,9,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,11,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,5,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,5,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,5,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,5,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,5,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,5,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,8,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,8,A
AGORA TURKISH RESTAURANT,SECOND AVENUE,high income,Turkish,8,A
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,24,B
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,10,A
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,24,B
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,13,A
AGRA RESTAURANT,LEXINGTON AVENUE,high income,Indian,28,C
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,13,A
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,13,A
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,5,A
AITA RESTAURANT/MAYFLOWER,GREENE AVENUE,medium income,Italian,5,A
AJISAI,LEXINGTON AVENUE,high income,Japanese,15,B
AJISAI,LEXINGTON AVENUE,high income,Japanese,7,A
AJISAI,LEXINGTON AVENUE,high income,Japanese,18,B
AJISEN RAMEN,MOTT STREET,high income,Japanese,13,A
AJISEN RAMEN,MOTT STREET,high income,Japanese,13,A
AJISEN RAMEN,MOTT STREET,high income,Japanese,21,B
AJISEN RAMEN,MOTT STREET,high income,Japanese,21,B
AJISEN RAMEN,MOTT STREET,high income,Japanese,32,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,32,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,33,C
AJISEN RAMEN,MOTT STREET,high income,Japanese,21,B
AJISEN RAMEN,MOTT STREET,high income,Japanese,21,B
AKI SUSHI,YORK AVE,high income,Japanese,11,A
AKI SUSHI,YORK AVE,high income,Japanese,11,A
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,17,B
AKI SUSHI,YORK AVE,high income,Japanese,17,B
AKI SUSHI,YORK AVE,high income,Japanese,17,B
AKI SUSHI,YORK AVE,high income,Japanese,17,B
AKI SUSHI,YORK AVE,high income,Japanese,11,A
AKI SUSHI,YORK AVE,high income,Japanese,11,A
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,60,C
AKI SUSHI,YORK AVE,high income,Japanese,17,B
AKI SUSHI,YORK AVE,high income,Japanese,17,B
AKI SUSHI,YORK AVE,high income,Japanese,17,B
AKI SUSHI,YORK AVE,high income,Japanese,17,B
AKI SUSHI,YORK AVE,high income,Japanese,12,A
AKI SUSHI,YORK AVE,high income,Japanese,12,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,11,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,11,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,12,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,12,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,12,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,12,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,12,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,12,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,34,C
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,5,A
AKIMOTO SUSHI,CHURCH STREET,high income,Japanese,5,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALACHI MASALA INDIAN RESTAURANT,AMSTERDAM AVENUE,high income,Indian,11,A
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,22,B
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,2,A
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,13,A
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,13,A
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,22,B
ALCALA RESTAURANT,EAST   44 STREET,high income,Spanish,22,B
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,8,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,8,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,8,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,33,Z
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,13,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,13,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,13,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALEX CAFE & DELI,LEXINGTON AVENUE,high income,American,11,A
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,13,A
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,13,A
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,13,A
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,11,A
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,11,A
ALI BABA'S TERRACE,2 AVENUE,high income,Turkish,11,A
ALIBABA,AMSTERDAM AVENUE,high income,Jewish/Kosher,10,A
ALIBABA,AMSTERDAM AVENUE,high income,Jewish/Kosher,5,A
ALIBABA,AMSTERDAM AVENUE,high income,Jewish/Kosher,10,A
ALIBABA,AMSTERDAM AVENUE,high income,Jewish/Kosher,5,A
ALICE'S TEA CUP,WEST   73 STREET,high income,American,8,A
ALICE'S TEA CUP,WEST   73 STREET,high income,American,10,A
ALICE'S TEA CUP,WEST   73 STREET,high income,American,8,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,11,P
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,11,P
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,11,P
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,11,P
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,11,P
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,11,P
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,12,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,12,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,13,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,13,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,10,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,10,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,10,A
ALICES TEA CUP CHAPTER 2,EAST   64 STREET,high income,American,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,13,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,13,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,10,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,9,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,9,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,13,A
ALITALIA PIZZA RESTAURANT,EAST TREMONT AVENUE,low income,Pizza,13,A
ALL ABOUT FOOD,EAST   58 STREET,high income,Delicatessen,7,A
ALL ABOUT FOOD,EAST   58 STREET,high income,Delicatessen,12,A
ALL ABOUT FOOD,EAST   58 STREET,high income,Delicatessen,5,A
ALL ABOUT FOOD,EAST   58 STREET,high income,Delicatessen,10,A
ALL ABOUT FOOD,EAST   58 STREET,high income,Delicatessen,12,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,10,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,10,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,10,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,9,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,9,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,9,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,12,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,12,A
ALL AMERICAN COFFEE SHOP,37 AVENUE,medium income,American,12,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",21,B
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8,A
ALLEN RESTAURANT,RANDALL AVENUE,low income,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8,A
AMARANTH,EAST   62 STREET,high income,French,12,A
AMARANTH,EAST   62 STREET,high income,French,12,A
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,38,C
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,10,A
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,10,A
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,10,A
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,10,A
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,9,A
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,9,A
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,9,A
AMAZING 66 RESTAURANT,MOTT STREET,high income,Chinese,9,A
AMBASSADOR FOOD SERVICES,38 AVENUE,medium income,American,11,A
AMBASSADOR FOOD SERVICES,38 AVENUE,medium income,American,11,A
AMBASSADOR FOOD SERVICES,38 AVENUE,medium income,American,9,A
AMBASSADOR FOOD SERVICES,38 AVENUE,medium income,American,9,A
